Base Size,Exponent Size,Mean,Stddev
-16,32,7.071717879163488e-6,2.4258517370354893e-8
-16,48,1.0439264502612344e-5,3.276343902871538e-8
-32,48,1.0540544929456364e-5,3.653818447988105e-8
48,-16,3.664153765319264e-6,1.1653462567273645e-8
64,-16,3.7155933646290847e-6,1.4550623966099214e-8
-48,16,3.6730849599862625e-6,1.2353043849947434e-8
16,0,9.182891824334539e-9,3.645483442522765e-11
16,-48,1.0565326558095738e-5,3.785124801481049e-8
16,16,3.6577485577309407e-6,1.2136409882363586e-8
32,48,1.0584155079550408e-5,3.684845598410798e-8
-64,0,9.198682175761411e-9,4.8799123821987605e-11
16,64,1.3974598649719485e-5,4.8127624770119026e-8
16,48,1.0580641695579552e-5,3.8395989681070653e-8
32,16,3.728267528817599e-6,1.2454959729292327e-8
48,-64,1.3911784610778457e-5,4.704349681967794e-8
64,64,1.395467827174606e-5,5.3879582658307074e-8
64,48,1.0545855451256508e-5,3.6454624143051196e-8
16,-16,3.6869869878285866e-6,1.3545761240109876e-8
64,-48,1.0577817491739669e-5,3.770513595554465e-8
64,16,3.742554663547552e-6,1.3488337986570385e-8
-48,-48,1.1152083877787668e-5,3.874151304500783e-8
64,0,9.36310760672715e-9,3.133853866190477e-11
32,32,7.183355584862587e-6,2.4690813715693768e-8
-16,-48,1.0858456336009853e-5,3.7652435758888424e-8
16,-64,1.401434606792293e-5,4.688176924803931e-8
-32,16,3.668988360990707e-6,1.243808333903548e-8
0,32,9.85064726592971e-9,5.0007868917074156e-11
-48,0,9.263126407203766e-9,5.543716295081179e-11
-16,-32,7.563161164792476e-6,2.4512474509202724e-8
-48,-64,1.4499006977943818e-5,4.450511111035502e-8
0,48,9.628606024294217e-9,4.696434480351384e-11
48,-48,1.057072927388068e-5,3.643295149823183e-8
-32,-48,1.1063969053385086e-5,3.414027177192492e-8
-32,-64,1.4386266534084575e-5,4.82040921645387e-8
48,32,7.218102235607607e-6,2.4982758328102707e-8
-16,-16,4.038653996473117e-6,1.4277339929214962e-8
-48,-32,7.791920060191466e-6,2.7295388894938654e-8
-16,16,3.686764199614571e-6,1.3088063946130334e-8
-16,64,1.3834230359315912e-5,5.325936271607537e-8
0,0,9.274319970987977e-9,5.154466776578008e-11
64,32,7.194675674394099e-6,2.3556859973985797e-8
-64,48,1.051761574928189e-5,3.6458238220885465e-8
-48,32,7.110884677286994e-6,2.785497504109276e-8
-48,48,1.0423121696552007e-5,3.541453445437498e-8
48,16,3.719790801352362e-6,1.1954609757124623e-8
-64,64,1.3857993712596985e-5,5.0775514525274705e-8
32,-48,1.0525061964083035e-5,3.817135852146479e-8
-64,-16,4.325886513395186e-6,1.4370959297706548e-8
48,64,1.3984977112953983e-5,4.763790458919562e-8
0,-48,9.533602036857014e-9,5.3627615588344476e-11
0,-32,9.64804332492546e-9,4.386228264559923e-11
48,0,9.071312454691684e-9,3.1057124398357705e-11
16,-32,7.191166542761669e-6,2.1075284352903128e-8
-32,64,1.3806319670655082e-5,5.3883823154135076e-8
64,-32,7.193250409569465e-6,2.3659453023303315e-8
16,32,7.171190356581419e-6,2.6750273321700095e-8
-16,-64,1.4318281436228866e-5,4.8995427645405605e-8
0,16,9.704318673390939e-9,4.649078962257969e-11
-64,-64,1.4364538400599608e-5,5.0376159158178865e-8
-64,16,3.7504468985446864e-6,1.2822687640478905e-8
32,64,1.3922574797669122e-5,5.260102690295934e-8
32,-16,3.6881436574963403e-6,1.2847186490254814e-8
-32,-32,7.721512195886401e-6,2.7996755082182975e-8
32,-32,7.158222263349898e-6,2.399032555576827e-8
32,0,9.17731486568852e-9,3.27408030854867e-11
-64,-48,1.1092172541283707e-5,3.651511464573381e-8
-32,0,9.23142067233007e-9,3.295727709189234e-11
0,-64,9.665443290315057e-9,4.171771892251022e-11
0,64,9.585143996058457e-9,4.682364256645856e-11
-48,64,1.3795979132255366e-5,4.8720163266162526e-8
-48,-16,4.380602076036805e-6,1.420888661748292e-8
-16,0,9.113866267493592e-9,4.292387172866162e-11
48,-32,7.2315421608095574e-6,2.2533001530668793e-8
-64,32,7.085005832023367e-6,2.611217665256875e-8
32,-64,1.40020714038381e-5,4.501937188745942e-8
64,-64,1.3968493214942326e-5,4.844929236383389e-8
-32,32,7.128745158118567e-6,2.5173679600822944e-8
-64,-32,7.708942844338142e-6,2.508518143624499e-8
0,-16,9.540372540817215e-9,4.689742167844788e-11
48,48,1.0548966854338243e-5,3.6661487514900654e-8
-32,-16,4.289607240410524e-6,1.3608658097500659e-8
