Base Size,Exponent Size,Mean,Stddev
-16,32,7.198530892260002e-6,2.4411319552418972e-8
-16,48,1.0521542232427104e-5,4.1651383206362815e-8
-32,48,1.053245876172771e-5,4.076587484777723e-8
48,-16,3.7001371660454034e-6,1.5415302379967118e-8
64,-16,3.7105814757183127e-6,1.3118829931880588e-8
-48,16,3.6929938487761636e-6,1.3584315118829821e-8
16,0,9.311919131769428e-9,6.620591631304138e-11
16,-48,1.0594883765243474e-5,3.6240871967038334e-8
16,16,3.705586091253832e-6,1.3427353433627883e-8
32,48,1.0596618150766332e-5,3.749580844875134e-8
-64,0,9.330548251836022e-9,4.048359900493815e-11
16,64,1.3955358587456375e-5,5.151593293306898e-8
16,48,1.0559889562612669e-5,3.4859545030967855e-8
32,16,3.6919976984468724e-6,1.3205249984191143e-8
48,-64,1.3948293211270638e-5,4.40020367578132e-8
64,64,1.3940544441335963e-5,5.07846619823523e-8
64,48,1.061659809270958e-5,4.432526123738377e-8
16,-16,3.681601789093414e-6,1.393617145012746e-8
64,-48,1.0584903720508787e-5,4.305975418943106e-8
64,16,3.707282559389917e-6,1.3346610196298862e-8
-48,-48,1.123954522137576e-5,4.834324902250105e-8
64,0,9.337662794008468e-9,6.812088059054118e-11
32,32,7.199040995214381e-6,2.5449210956776775e-8
-16,-48,1.0975022904107932e-5,3.964408305429775e-8
16,-64,1.3960595528222366e-5,6.627955547331956e-8
-32,16,3.697256611805057e-6,1.4008677055779798e-8
0,32,9.928957181397349e-9,6.28284625393152e-11
-48,0,9.62055190132048e-9,5.312499956298195e-11
-16,-32,7.57325917164587e-6,3.0003269553936774e-8
-48,-64,1.4607063286875273e-5,5.19026898597114e-8
0,48,1.0138255859629085e-8,5.799389312868957e-11
48,-48,1.0630197641561913e-5,3.5258915636240786e-8
-32,-48,1.1190693921449183e-5,3.7199372893567164e-8
-32,-64,1.4565621048190456e-5,6.417745713942695e-8
48,32,7.184048726389432e-6,2.5688183870535763e-8
-16,-16,4.125712619606765e-6,1.4486931271224453e-8
-48,-32,7.878454416880252e-6,2.379160047512628e-8
-16,16,3.714103690172058e-6,1.4936884156084647e-8
-16,64,1.4105939683441244e-5,6.407175296048624e-8
0,0,9.142567542238338e-9,8.272843587407961e-11
64,32,7.191453918892023e-6,2.696047277505242e-8
-64,48,1.056230533372261e-5,3.391046866017172e-8
-48,32,7.232319636987108e-6,2.5038216693580536e-8
-48,48,1.0552811431067471e-5,3.791509573941277e-8
48,16,3.69265805747845e-6,1.2616051450762999e-8
-64,64,1.3970002091909386e-5,4.471873834170461e-8
32,-48,1.0537845518524572e-5,3.967621718811018e-8
-64,-16,4.3463263654555996e-6,1.7847509820587683e-8
48,64,1.4031785238897258e-5,5.2779773834431443e-8
0,-48,9.86973557578184e-9,5.3488760498940413e-11
0,-32,1.001585366417055e-8,6.674396906890686e-11
48,0,9.151561724064825e-9,7.878510429662098e-11
16,-32,7.2781447775659924e-6,2.4833558617339225e-8
-32,64,1.4021715130679746e-5,4.570517966477351e-8
64,-32,7.180283847724461e-6,2.3577219961215613e-8
16,32,7.173819029539722e-6,3.019943270412124e-8
-16,-64,1.438774933714613e-5,4.933532769243726e-8
0,16,9.809254176653484e-9,4.5077908580070436e-11
-64,-64,1.4600952682745591e-5,4.498636901970462e-8
-64,16,3.7167772992151685e-6,1.2691498320146291e-8
32,64,1.4017144913273133e-5,5.511306643062836e-8
32,-16,3.7323669323424105e-6,1.4034603609732007e-8
-32,-32,7.864193133212632e-6,2.821691486840885e-8
32,-32,7.196418596127042e-6,2.651853690957793e-8
32,0,9.500356550675435e-9,5.776512577879414e-11
-64,-48,1.1287989078203812e-5,4.025018188165427e-8
-32,0,9.650949786622629e-9,6.496180443857183e-11
0,-64,9.965495321976001e-9,4.163899992133911e-11
0,64,9.908884375420665e-9,5.3746806062723807e-11
-48,64,1.395134842070201e-5,5.718992900252102e-8
-48,-16,4.3381916228489436e-6,1.4942414426440933e-8
-16,0,9.331841102011921e-9,5.3493056236283154e-11
48,-32,7.190880946752105e-6,2.508169535759152e-8
-64,32,7.164408254152874e-6,3.0633779744457225e-8
32,-64,1.3959381917831504e-5,5.2109472899079626e-8
64,-64,1.40348100046531e-5,5.53128835816583e-8
-32,32,7.197343637123946e-6,2.719944940199628e-8
-64,-32,7.832913725341084e-6,2.9398097017159006e-8
0,-16,9.794437671933033e-9,5.424377837202544e-11
48,48,1.0549440844934434e-5,3.5216722689585504e-8
-32,-16,4.323074250642167e-6,1.6483206625118526e-8
