Base Size,Exponent Size,Mean,Stddev
-16,32,1.9372671212642396e-5,5.97813703953401e-8
-16,48,2.851024357470819e-5,1.0420881432151426e-7
-32,48,2.85648739705828e-5,9.158983200271472e-8
48,-16,9.899063290117956e-6,3.070135155967223e-8
64,-16,9.915435714842526e-6,3.203123778836856e-8
-48,16,9.977369149221498e-6,3.019843257987664e-8
16,0,9.367641061132551e-9,5.048747398215803e-11
16,-48,2.847854040593296e-5,9.896305463044244e-8
16,16,9.87515765773499e-6,2.9240327372601446e-8
32,48,2.8506887785455144e-5,9.664290117241592e-8
-64,0,9.286572131180007e-9,4.549739420528011e-11
16,64,3.7798258956418266e-5,1.2384929192769506e-7
16,48,2.853680620359554e-5,9.348556648217347e-8
32,16,1.0004333271485034e-5,3.299048997273893e-8
48,-64,3.770700208411822e-5,1.3088154977601143e-7
64,64,3.770638514806417e-5,1.3118087346115735e-7
64,48,2.8531795247686274e-5,9.145598902631237e-8
16,-16,9.885596706436023e-6,3.326437907849382e-8
64,-48,2.8574606819719508e-5,9.680091887688852e-8
64,16,9.89107285913202e-6,3.127552258635e-8
-48,-48,2.960494019329176e-5,9.506480756906842e-8
64,0,9.253697145880245e-9,4.3286525670647e-11
32,32,1.9329497556764338e-5,5.927428872841521e-8
-16,-48,2.8893824168775225e-5,7.904868873949189e-8
16,-64,3.7759417019260285e-5,1.3279694265111822e-7
-32,16,9.918641923112009e-6,3.2104967205649675e-8
0,32,9.560435486238306e-9,5.1702867200873736e-11
-48,0,9.201605473643068e-9,3.0603974581654074e-11
-16,-32,1.9840752405723842e-5,6.445728846204643e-8
-48,-64,3.878826854482107e-5,1.2576595572573382e-7
0,48,9.608981277824983e-9,4.386311071201066e-11
48,-48,2.87207128801218e-5,9.299616156226878e-8
-32,-48,2.9332041205353118e-5,9.946587175691246e-8
-32,-64,3.852912637920297e-5,1.1244938642609316e-7
48,32,1.926816266044053e-5,5.846709954706634e-8
-16,-16,1.0393777241571156e-5,3.487849059235731e-8
-48,-32,2.0424922261289344e-5,6.35827695224172e-8
-16,16,1.0019886206415174e-5,3.1122275431462024e-8
-16,64,3.781535850621706e-5,1.2071456635124317e-7
0,0,9.221090053594763e-9,3.409749391710592e-11
64,32,1.935964177603342e-5,6.209206600967203e-8
-64,48,2.856572019714346e-5,9.528498482957527e-8
-48,32,1.943412972949843e-5,5.724944194449985e-8
-48,48,2.8478989131464653e-5,8.969536811035211e-8
48,16,9.93160532842731e-6,3.308640659729414e-8
-64,64,3.7767184653434124e-5,1.2543796837259103e-7
32,-48,2.8520532999650625e-5,9.550621945218994e-8
-64,-16,1.1187383985703446e-5,3.6607584537099925e-8
48,64,3.768663828660694e-5,1.1854278980114984e-7
0,-48,9.688071621791678e-9,5.238743220634206e-11
0,-32,9.63466806236289e-9,5.118914022988949e-11
48,0,9.225451764464223e-9,3.434307401610977e-11
16,-32,1.9317833051551482e-5,5.855219244631516e-8
-32,64,3.774277852492853e-5,1.269408560424727e-7
64,-32,1.9229687250232057e-5,6.907650505095308e-8
16,32,1.932262383709919e-5,6.317243690536874e-8
-16,-64,3.818142532435172e-5,1.2905831786701806e-7
0,16,9.574012664200286e-9,4.734132253936214e-11
-64,-64,3.8957398073885636e-5,1.2348565111397853e-7
-64,16,9.88776679092467e-6,3.029175310408888e-8
32,64,3.777643575756001e-5,1.3342118332003424e-7
32,-16,1.0058979460657715e-5,3.101969801582098e-8
-32,-32,2.0087782137159552e-5,6.36604922039543e-8
32,-32,1.9397551987020146e-5,6.640825974423112e-8
32,0,9.269016267544105e-9,3.8254420219925956e-11
-64,-48,2.9742550964917543e-5,9.115974091815234e-8
-32,0,9.143408599361316e-9,3.135392853300247e-11
0,-64,9.893000165036407e-9,4.897306388344967e-11
0,64,9.75731980806016e-9,4.655599538263885e-11
-48,64,3.7787642548894574e-5,1.239778424978877e-7
-48,-16,1.100084233730123e-5,3.2115107552419745e-8
-16,0,9.23911552584001e-9,3.078669870049064e-11
48,-32,1.927487664209055e-5,6.676050235391034e-8
-64,32,1.9355709243650033e-5,6.391200024788447e-8
32,-64,3.784115687359257e-5,1.218438601315501e-7
64,-64,3.78892163563486e-5,1.2400981498723063e-7
-32,32,1.9454640967868334e-5,6.0553147669311e-8
-64,-32,2.0602766627442037e-5,6.71531123609257e-8
0,-16,9.672031429258178e-9,4.489424718703629e-11
48,48,2.8824861716043804e-5,9.019652780085034e-8
-32,-16,1.0718667976423568e-5,3.2765698873777986e-8
